year,district,office,candidate,party,votes,percentage
2022,STATE,Governor,Abbott,R,4437097,54.7
2022,STATE,Governor,Barrios,G,28590,0.4
2022,STATE,Governor,O'Rourke,D,3554772,43.8
2022,STATE,Governor,Tippetts,L,81942,1.0
2022,STATE,Governor,Write-In,W,4367,0.1
2022,STATE,Lieutenant Governor,Collier,D,3493602,43.5
2022,STATE,Lieutenant Governor,Patrick,R,4317770,53.7
2022,STATE,Lieutenant Governor,Steele,L,222257,2.8
2022,STATE,Attorney General,Ash,L,233768,2.9
2022,STATE,Attorney General,Garza,D,3498276,43.7
2022,1,Governor,Abbott,R,229041,78.5
2022,1,Governor,Barrios,G,693,0.2
2022,1,Governor,O'Rourke,D,59801,20.5
2022,1,Governor,Tippetts,L,2272,0.8
2022,1,Governor,Write-In,W,134,0.0
2022,1,Lieutenant Governor,Collier,D,60777,20.9
2022,1,Lieutenant Governor,Patrick,R,224358,77.2
2022,1,Lieutenant Governor,Steele,L,5346,1.8
2022,1,Attorney General,Ash,L,5830,2.0
2022,1,Attorney General,Garza,D,60556,20.9
2022,2,Governor,Abbott,R,168600,59.2
2022,2,Governor,Barrios,G,774,0.3
2022,2,Governor,O'Rourke,D,112075,39.4
2022,2,Governor,Tippetts,L,2662,0.9
2022,2,Governor,Write-In,W,483,0.2
2022,2,Lieutenant Governor,Collier,D,112299,39.7
2022,2,Lieutenant Governor,Patrick,R,163156,57.7
2022,2,Lieutenant Governor,Steele,L,7542,2.7
2022,2,Attorney General,Ash,L,9618,3.4
2022,2,Attorney General,Garza,D,110633,39.2
2022,3,Governor,Abbott,R,215648,77.3
2022,3,Governor,Barrios,G,659,0.2
2022,3,Governor,O'Rourke,D,60550,21.7
2022,3,Governor,Tippetts,L,2153,0.8
2022,3,Governor,Write-In,W,121,0.0
2022,3,Lieutenant Governor,Collier,D,61303,22.1
2022,3,Lieutenant Governor,Patrick,R,211438,76.2
2022,3,Lieutenant Governor,Steele,L,4769,1.7
2022,3,Attorney General,Ash,L,5283,1.9
2022,3,Attorney General,Garza,D,60790,21.9
2022,4,Governor,Abbott,R,197712,67.4
2022,4,Governor,Barrios,G,813,0.3
2022,4,Governor,O'Rourke,D,91510,31.2
2022,4,Governor,Tippetts,L,3107,1.1
2022,4,Governor,Write-In,W,34,0.0
2022,4,Lieutenant Governor,Collier,D,90670,31.0
2022,4,Lieutenant Governor,Patrick,R,194531,66.6
2022,4,Lieutenant Governor,Steele,L,6899,2.4
2022,4,Attorney General,Ash,L,7550,2.6
2022,4,Attorney General,Garza,D,89893,30.8
2022,5,Governor,Abbott,R,183843,60.6
2022,5,Governor,Barrios,G,881,0.3
2022,5,Governor,O'Rourke,D,114343,37.7
2022,5,Governor,Tippetts,L,3837,1.3
2022,5,Governor,Write-In,W,221,0.1
2022,5,Lieutenant Governor,Collier,D,112840,37.6
2022,5,Lieutenant Governor,Patrick,R,178142,59.4
2022,5,Lieutenant Governor,Steele,L,8851,3.0
2022,5,Attorney General,Ash,L,10359,3.5
2022,5,Attorney General,Garza,D,111870,37.6
2022,6,Governor,Abbott,R,41043,31.8
2022,6,Governor,Barrios,G,927,0.7
2022,6,Governor,O'Rourke,D,85936,66.5
2022,6,Governor,Tippetts,L,1225,0.9
2022,6,Governor,Write-In,W,25,0.0
2022,6,Lieutenant Governor,Collier,D,82391,64.5
2022,6,Lieutenant Governor,Patrick,R,41121,32.2
2022,6,Lieutenant Governor,Steele,L,4206,3.3
2022,6,Attorney General,Ash,L,3243,2.5
2022,6,Attorney General,Garza,D,83842,65.7
2022,7,Governor,Abbott,R,172986,60.0
2022,7,Governor,Barrios,G,894,0.3
2022,7,Governor,O'Rourke,D,111308,38.6
2022,7,Governor,Tippetts,L,3189,1.1
2022,7,Governor,Write-In,W,45,0.0
2022,7,Lieutenant Governor,Collier,D,110620,38.5
2022,7,Lieutenant Governor,Patrick,R,170304,59.2
2022,7,Lieutenant Governor,Steele,L,6557,2.3
2022,7,Attorney General,Ash,L,7652,2.7
2022,7,Attorney General,Garza,D,109050,38.0
2022,8,Governor,Abbott,R,195298,58.3
2022,8,Governor,Barrios,G,767,0.2
2022,8,Governor,O'Rourke,D,134859,40.3
2022,8,Governor,Tippetts,L,3648,1.1
2022,8,Governor,Write-In,W,238,0.1
2022,8,Lieutenant Governor,Collier,D,134662,40.6
2022,8,Lieutenant Governor,Patrick,R,188782,56.9
2022,8,Lieutenant Governor,Steele,L,8235,2.5
2022,8,Attorney General,Ash,L,11608,3.5
2022,8,Attorney General,Garza,D,132534,40.2
2022,9,Governor,Abbott,R,161729,57.4
2022,9,Governor,Barrios,G,846,0.3
2022,9,Governor,O'Rourke,D,115562,41.0
2022,9,Governor,Tippetts,L,3339,1.2
2022,9,Governor,Write-In,W,49,0.0
2022,9,Lieutenant Governor,Collier,D,115220,41.1
2022,9,Lieutenant Governor,Patrick,R,156402,55.8
2022,9,Lieutenant Governor,Steele,L,8639,3.1
2022,9,Attorney General,Ash,L,10402,3.7
2022,9,Attorney General,Garza,D,113406,40.6
2022,10,Governor,Abbott,R,165503,60.3
2022,10,Governor,Barrios,G,763,0.3
2022,10,Governor,O'Rourke,D,105625,38.5
2022,10,Governor,Tippetts,L,2640,1.0
2022,10,Governor,Write-In,W,67,0.0
2022,10,Lieutenant Governor,Collier,D,106615,39.0
2022,10,Lieutenant Governor,Patrick,R,159807,58.4
2022,10,Lieutenant Governor,Steele,L,7051,2.6
2022,10,Attorney General,Ash,L,8836,3.2
2022,10,Attorney General,Garza,D,104336,38.3
2022,11,Governor,Abbott,R,164256,58.7
2022,11,Governor,Barrios,G,973,0.3
2022,11,Governor,O'Rourke,D,111345,39.8
2022,11,Governor,Tippetts,L,3312,1.2
2022,11,Governor,Write-In,W,80,0.0
2022,11,Lieutenant Governor,Collier,D,110356,39.5
2022,11,Lieutenant Governor,Patrick,R,161009,57.7
2022,11,Lieutenant Governor,Steele,L,7674,2.8
2022,11,Attorney General,Ash,L,7965,2.9
2022,11,Attorney General,Garza,D,109538,39.3
2022,12,Governor,Abbott,R,205220,58.4
2022,12,Governor,Barrios,G,781,0.2
2022,12,Governor,O'Rourke,D,141603,40.3
2022,12,Governor,Tippetts,L,3900,1.1
2022,12,Governor,Write-In,W,175,0.0
2022,12,Lieutenant Governor,Collier,D,144041,41.1
2022,12,Lieutenant Governor,Patrick,R,196638,56.1
2022,12,Lieutenant Governor,Steele,L,9677,2.8
2022,12,Attorney General,Ash,L,13189,3.8
2022,12,Attorney General,Garza,D,141102,40.4
2022,13,Governor,Abbott,R,37889,20.9
2022,13,Governor,Barrios,G,1065,0.6
2022,13,Governor,O'Rourke,D,140850,77.7
2022,13,Governor,Tippetts,L,1475,0.8
2022,13,Governor,Write-In,W,47,0.0
2022,13,Lieutenant Governor,Collier,D,137430,76.5
2022,13,Lieutenant Governor,Patrick,R,37100,20.6
2022,13,Lieutenant Governor,Steele,L,5207,2.9
2022,13,Attorney General,Ash,L,4250,2.4
2022,13,Attorney General,Garza,D,137882,76.9
2022,14,Governor,Abbott,R,78686,22.3
2022,14,Governor,Barrios,G,989,0.3
2022,14,Governor,O'Rourke,D,268617,76.1
2022,14,Governor,Tippetts,L,4188,1.2
2022,14,Governor,Write-In,W,291,0.1
2022,14,Lieutenant Governor,Collier,D,263464,75.5
2022,14,Lieutenant Governor,Patrick,R,74628,21.4
2022,14,Lieutenant Governor,Steele,L,10640,3.1
2022,14,Attorney General,Ash,L,10661,3.1
2022,14,Attorney General,Garza,D,264890,76.2
2022,15,Governor,Abbott,R,83653,33.8
2022,15,Governor,Barrios,G,932,0.4
2022,15,Governor,O'Rourke,D,160077,64.7
2022,15,Governor,Tippetts,L,2850,1.2
2022,15,Governor,Write-In,W,30,0.0
2022,15,Lieutenant Governor,Collier,D,158040,64.1
2022,15,Lieutenant Governor,Patrick,R,81868,33.2
2022,15,Lieutenant Governor,Steele,L,6543,2.7
2022,15,Attorney General,Ash,L,6901,2.8
2022,15,Attorney General,Garza,D,157468,64.1
2022,16,Governor,Abbott,R,71552,36.7
2022,16,Governor,Barrios,G,664,0.3
2022,16,Governor,O'Rourke,D,120514,61.8
2022,16,Governor,Tippetts,L,1947,1.0
2022,16,Governor,Write-In,W,222,0.1
2022,16,Lieutenant Governor,Collier,D,119442,61.6
2022,16,Lieutenant Governor,Patrick,R,68296,35.2
2022,16,Lieutenant Governor,Steele,L,6183,3.2
2022,16,Attorney General,Ash,L,7089,3.7
2022,16,Attorney General,Garza,D,119199,61.7
2022,17,Governor,Abbott,R,171843,61.4
2022,17,Governor,Barrios,G,826,0.3
2022,17,Governor,O'Rourke,D,104071,37.2
2022,17,Governor,Tippetts,L,2994,1.1
2022,17,Governor,Write-In,W,125,0.0
2022,17,Lieutenant Governor,Collier,D,104263,37.5
2022,17,Lieutenant Governor,Patrick,R,167634,60.2
2022,17,Lieutenant Governor,Steele,L,6428,2.3
2022,17,Attorney General,Ash,L,7491,2.7
2022,17,Attorney General,Garza,D,102524,37.0
2022,18,Governor,Abbott,R,182516,63.6
2022,18,Governor,Barrios,G,1039,0.4
2022,18,Governor,O'Rourke,D,100790,35.1
2022,18,Governor,Tippetts,L,2629,0.9
2022,18,Governor,Write-In,W,157,0.1
2022,18,Lieutenant Governor,Collier,D,99824,35.0
2022,18,Lieutenant Governor,Patrick,R,178867,62.8
2022,18,Lieutenant Governor,Steele,L,6300,2.2
2022,18,Attorney General,Ash,L,6588,2.3
2022,18,Attorney General,Garza,D,99416,35.0
2022,19,Governor,Abbott,R,96050,43.8
2022,19,Governor,Barrios,G,1183,0.5
2022,19,Governor,O'Rourke,D,119728,54.6
2022,19,Governor,Tippetts,L,1991,0.9
2022,19,Governor,Write-In,W,164,0.1
2022,19,Lieutenant Governor,Collier,D,112491,52.5
2022,19,Lieutenant Governor,Patrick,R,93984,43.9
2022,19,Lieutenant Governor,Steele,L,7679,3.6
2022,19,Attorney General,Ash,L,5769,2.7
2022,19,Attorney General,Garza,D,115545,54.0
2022,20,Governor,Abbott,R,78929,44.9
2022,20,Governor,Barrios,G,986,0.6
2022,20,Governor,O'Rourke,D,94682,53.8
2022,20,Governor,Tippetts,L,1237,0.7
2022,20,Governor,Write-In,W,44,0.0
2022,20,Lieutenant Governor,Collier,D,90241,52.4
2022,20,Lieutenant Governor,Patrick,R,77036,44.7
2022,20,Lieutenant Governor,Steele,L,4904,2.8
2022,20,Attorney General,Ash,L,3557,2.1
2022,20,Attorney General,Garza,D,93604,54.4
2022,21,Governor,Abbott,R,88609,40.5
2022,21,Governor,Barrios,G,1726,0.8
2022,21,Governor,O'Rourke,D,126105,57.7
2022,21,Governor,Tippetts,L,2125,1.0
2022,21,Governor,Write-In,W,110,0.1
2022,21,Lieutenant Governor,Collier,D,118319,56.2
2022,21,Lieutenant Governor,Patrick,R,83986,39.9
2022,21,Lieutenant Governor,Steele,L,8097,3.8
2022,21,Attorney General,Ash,L,5990,2.9
2022,21,Attorney General,Garza,D,122700,58.4
2022,22,Governor,Abbott,R,182235,64.2
2022,22,Governor,Barrios,G,735,0.3
2022,22,Governor,O'Rourke,D,98142,34.6
2022,22,Governor,Tippetts,L,2790,1.0
2022,22,Governor,Write-In,W,121,0.0
2022,22,Lieutenant Governor,Collier,D,98297,34.8
2022,22,Lieutenant Governor,Patrick,R,176826,62.6
2022,22,Lieutenant Governor,Steele,L,7165,2.5
2022,22,Attorney General,Ash,L,8594,3.1
2022,22,Attorney General,Garza,D,96812,34.4
2022,23,Governor,Abbott,R,49629,22.2
